,drug,withdrawn_class,smiles
171,doxycycline hyclate,0,CCO.C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.Cl.Cl.O
172,phentermine hydrochloride,0,CC(C)(N)Cc1ccccc1.Cl
173,metronidazole,0,Cc1ncc([N+](=O)[O-])n1CCO
174,dicyclomine hydrochloride,0,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1.Cl
175,albuterol sulfate,0,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1.CC(C)(C)NCC(O)c1ccc(O)c(CO)c1.O=S(=O)(O)O
176,amitriptyline hydrochloride,0,CN(C)CCC=C1c2ccccc2CCc2ccccc21.Cl
177,amitriptyline hydrochloride ,0,CN(C)CCC=C1c2ccccc2CCc2ccccc21.Cl
178,hydroxyzine hydrochloride,0,Cl.Cl.OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
179,diazepam,0,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
180,levothyroxine sodium,0,N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)[O-].O.[Na+]
181,oxcarbazepine,0,NC(=O)N1c2ccccc2CC(=O)c2ccccc21
182,prednisone,0,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
183,metformin hydrochloride,0,CN(C)C(=N)NC(=N)N.Cl
184,levalbuterol hydrochloride,0,CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1.Cl
185,trazodone hydrochloride,0,Cl.O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12
186,fluorouracil,0,O=c1[nH]cc(F)c(=O)[nH]1
187,quetiapine fumarate,0,O=C(O)/C=C/C(=O)O.OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1.OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1
188,acyclovir,0,Nc1nc2c(ncn2COCCO)c(=O)[nH]1
189,benzonatate,0,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1
190,simvastatin,0,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
191,tramadol hydrochloride,0,COc1cccc(C2(O)CCCCC2CN(C)C)c1.Cl
192,tramadol hcl,0,COc1cccc(C2(O)CCCCC2CN(C)C)c1.Cl
193,bupropion hydrochloride,0,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1.Cl
194,eszopiclone,0,CN1CCN(C(=O)O[C@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1
195,paroxetine,0,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1
196,alendronate sodium,0,NCCCC(O)(P(=O)([O-])O)P(=O)(O)O.[Na+]
197,fluconazole,0,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
198,phenobarbital,0,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
199,propafenone,0,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1
200,fluocinolone acetonide,0,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
201,cyclobenzaprine hydrochloride,0,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21.Cl
202,oxybutynin chloride,0,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1.Cl
203,carisoprodol,0,CCCC(C)(COC(N)=O)COC(=O)NC(C)C
204,warfarin sodium,0,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[Na+]
